203:00:00,16689,8875,290
204:00:00,12191,4391,67
205:00:00,3622,678,1
206:00:00,11160,3356,41
207:00:00,29875,28200,3019
208:00:00,12765,4091,59
209:00:00,10343,6824,168
210:00:00,17682,7213,179
211:00:00,20074,2561,21
212:00:00,25565,17730,1205
213:00:00,31579,18159,1283
214:00:00,12136,1518,7
215:00:00,3135,2267,17
216:00:00,12665,9186,301
217:00:00,20254,8082,247
218:00:00,9883,7226,184
219:00:00,15337,5608,115
220:00:00,2580,1925,12
221:00:00,2218,1826,11
222:00:00,20973,9761,342
223:00:00,6342,2528,21
224:00:00,1304,662,1
225:00:00,14784,666,1
226:00:00,23406,2653,25
227:00:00,11240,976,4
228:00:00,11361,60,0
229:00:00,29443,6204,140
230:00:00,1945,352,0
231:00:00,12919,1098,4
232:00:00,28917,27406,2928
233:00:00,13109,268,0
234:00:00,18964,8055,228
235:00:00,18302,980,3
236:00:00,3127,2995,33
237:00:00,2675,760,2
238:00:00,31152,14802,832
239:00:00,26405,26091,2645
240:00:00,16121,9474,335
241:00:00,1831,626,2
242:00:00,25287,749,2
243:00:00,18373,8671,277
244:00:00,7663,865,2
245:00:00,7120,670,1
246:00:00,1706,911,2
247:00:00,13318,4267,69
248:00:00,5096,4177,58
249:00:00,32091,31906,3714
250:00:00,29177,571,1
251:00:00,1983,845,2
252:00:00,8093,729,3
253:00:00,3258,61,0
254:00:00,24722,8512,262
255:00:00,13943,5174,100
256:00:00,4388,3174,34
257:00:00,14063,4162,64
258:00:00,7193,4733,78
259:00:00,3378,1881,12
260:00:00,20552,5261,102
261:00:00,17898,1605,8
262:00:00,4911,1973,13
263:00:00,23768,15224,884
264:00:00,27025,5120,93
265:00:00,5041,3132,34
266:00:00,3209,2646,22
267:00:00,5820,4158,59
268:00:00,32763,12575,590
269:00:00,31216,30933,3702
270:00:00,11705,6413,143
271:00:00,23438,22268,1897
272:00:00,7951,1897,15
273:00:00,8334,1004,2
274:00:00,30078,20945,1719
275:00:00,27087,2920,28
276:00:00,7036,3363,38
277:00:00,9134,4842,76
278:00:00,2172,1225,6
279:00:00,10316,118,0
280:00:00,28774,20911,1697
281:00:00,20571,1169,4
282:00:00,17537,13485,671
283:00:00,14706,13398,678
284:00:00,27069,4817,86
285:00:00,1129,118,0
286:00:00,22357,6132,138
287:00:00,4977,979,4
288:00:00,2523,1674,8
289:00:00,19704,1027,3
290:00:00,14773,12638,610
291:00:00,13017,1706,9
292:00:00,9300,4113,63
293:00:00,32175,28726,3251
294:00:00,16666,659,1
295:00:00,31055,4174,63
296:00:00,29136,25887,2668
297:00:00,25537,14209,796
298:00:00,26583,2524,20
299:00:00,7008,2981,28
300:00:00,31198,19285,1415
301:00:00,14439,2095,15
302:00:00,20076,3317,36
303:00:00,26533,14583,818
304:00:00,11652,6095,136
305:00:00,19164,11394,484
306:00:00,3663,1616,10
307:00:00,9481,2876,25
308:00:00,18582,6886,175
309:00:00,10194,3106,34
310:00:00,29403,4566,69
311:00:00,30363,2068,14
