1008,3538,43356,19
716,6910,30746,23
2353,9503,110496,110
765,392,35990,2
854,2395,35272,9
2512,2556,122289,27
1622,9318,69785,82
2923,9798,137873,127
1386,1299,51483,7
1007,8513,45195,40
1921,54,86077,1
567,3321,26865,9
262,2435,8846,3
2098,8517,91926,89
1055,8087,51902,42
10,4607,0,1
1657,2447,74606,17
1169,5101,52721,27
152,5018,4646,4
1106,4416,45493,26
1531,365,78168,2
2002,2919,97439,27
1925,1539,91314,12
2204,180,87845,1
388,754,19926,1
2309,4913,110074,47
2271,1075,102745,9
1691,9326,75585,73
2205,895,98702,8
406,557,18092,1
533,9070,25781,22
2412,6481,107084,70
922,9952,41498,41
1339,1694,59914,10
2597,431,114535,5
2585,5404,107996,61
16,1336,0,0
2586,6912,128240,79
2273,4367,99896,40
1219,929,58343,4
1184,2922,61529,14
693,1280,24879,3
2219,7049,102845,74
1641,9375,76567,80
1785,7236,81061,56
1188,8800,55740,48
2190,1919,103264,16
1236,1141,56710,5
1337,577,62150,3
633,1705,38777,5
1990,2056,92146,16
2295,7057,107214,70
1159,8732,46761,46
518,4479,21007,10
1515,6358,66078,41
2729,2750,117186,28
2376,3963,107268,41
2507,9306,103080,109
114,7365,6295,4
2507,350,101649,3
1642,1788,63059,12
2147,6173,99070,62
2823,1154,136950,12
2564,8211,114210,88
2132,9815,103537,98
1660,1718,79255,11
2115,1574,92936,13
414,9055,23740,18
1107,2780,62881,14
902,7043,44785,29
2662,1679,110032,19
2788,5301,131107,69
2196,8884,92939,90
575,3198,22028,9
302,7539,10057,10
993,4792,37582,27
1524,2732,73109,17
2853,1343,126192,15
846,6366,47805,25
1204,6534,57713,35
954,3643,42007,17
821,617,32732,2
1157,7024,55739,43
1251,4477,50858,27
2376,8548,115760,90
272,5800,7431,8
2633,1450,103770,16
936,8780,38655,40
794,6835,33036,26
586,6704,26187,18
352,3562,16746,5
586,6319,24071,17
2075,5715,98007,55
2509,4624,123470,49
1704,1102,85812,6
2609,1060,125361,11
382,5451,11738,11
1791,8506,78056,72
333,6312,12548,10
181,1078,7161,1
