0,26562,2685,16385
1,1507,183,17381
2,21292,2706,16432.5
3,7516,1111,16457.5
4,31541,1367,16687
5,16055,946,16250
6,30453,1381,19973
7,30111,1465,15959
8,8278,1034,14620
9,21713,1262,15792
10,1774,391,16062.5
11,7041,521,14994
12,23055,1302,15421
13,32246,3058,16242
14,20309,1107,17630
15,3663,322,16250
16,28476,2592,15829
17,24135,1246,16017
18,6240,909,16780
19,10693,685,16031
20,20228,1900,15500
21,910,235,16169.5
22,1396,347,12383.5
23,1047,132,16128
24,24229,1317,17830
25,27466,2605,16238
26,1382,340,16475.5
27,23594,2305,15233
28,12263,697,17585
29,24195,1090,18755
30,19232,2149,16281.5
31,27471,1146,15028
32,29032,3022,16331.5
33,23016,2544,16344.5
34,8388,1116,16461
35,1695,200,15067
36,13933,843,16591
37,28446,2766,16440
38,5507,423,18028
39,8233,606,15482
40,29276,2536,15899.5
41,26089,1200,15848
42,30713,1540,17075
43,19386,1884,17722.5
44,15495,908,16976
45,17138,1981,16432.5
46,21032,2457,16526.5
47,29035,1353,18919
48,24855,1078,18740
49,12468,1306,15099
50,10183,622,15539
51,27906,2725,15434.5
52,18160,2150,15779
53,7259,534,16256
54,18612,2195,16769
55,11505,764,14523
56,26680,2518,15978.5
57,10457,641,15577
58,24767,1103,16270
59,13996,1647,15204.5
60,28388,2614,16516
61,768,130,15821.5
62,18350,1864,16250.5
63,14726,1836,16473
64,7618,1101,16232.5
65,9866,1397,16579
66,26524,2586,15587
67,22480,2727,16434.5
68,2405,216,16416
69,31612,3341,16275.5
70,10907,674,17494
71,7251,476,15359
72,22889,1249,16482
73,30044,3093,16340
74,5015,371,15048
75,24251,1292,17656
76,5221,405,16197
77,617,81,15182
78,23780,3030,15799.5
79,22648,2696,16475
80,4589,386,15470
81,20982,2427,16230
82,23683,1076,19220
83,20680,2384,16440.5
84,26302,2518,15509
85,28258,2739,16080
86,31024,2992,15427
87,2620,458,16472
88,31737,1352,16881
89,3891,296,16259
90,10786,1540,16192
91,32241,1429,16507
92,12354,1573,16230
93,12104,1655,16537.5
94,15296,1740,16569.5
95,23875,1318,15763
96,32623,1413,19214
97,17247,940,16487
98,5893,427,18244
99,24564,2326,15848
